NSE Index	""	""	""	""	""	""
Ticker	NSE Index	CNX500	CPSE	NIFINDIAMANU	NIFMICCAP250	NIFTOTALMAR
Name	Nifty 50	Nifty 500	Nifty CPSE	Nifty India Manufacturing Index	Nifty Microcap 250 Index	Nifty Total Market
URL	https://strike-analytics-dev.netlify.app/stocks/nifty-50	https://strike-analytics-dev.netlify.app/stocks/nifty-500	https://strike-analytics-dev.netlify.app/stocks/nifty-cpse	https://strike-analytics-dev.netlify.app/stocks/nifty-india-manufacturing-index	https://strike-analytics-dev.netlify.app/stocks/nifty-microcap-250-index	https://strike-analytics-dev.netlify.app/stocks/nifty-total-market
2025-05-14 19:50:59.000000	24628.25	22463.55	6320.0	13871.25	22355.8	12628.35
2025-05-14 19:55:59.000000	24629.35	22461.6	6320.5	13866.3	22343.15	12627.0
2025-05-14 20:00:59.000000	24616.95	22453.85	6327.15	13863.5	22343.15	12622.85
2025-05-14 20:05:59.000000	24594.45	22437.3	6319.05	13855.15	22332.1	12613.65
2025-05-14 20:10:59.000000	24620.55	22455.05	6320.85	13861.5	22348.45	12623.6
2025-05-14 20:15:59.000000	24621.45	22453.85	6320.3	13860.4	22352.9	12623.05
2025-05-14 20:20:59.000000	24629.9	22457.5	6322.0	13861.75	22355.3	12625.05
2025-05-14 20:25:59.000000	24640.9	22467.8	6325.25	13866.15	22365.5	12630.85
2025-05-14 20:30:59.000000	24640.4	22466.95	6326.0	13867.65	22368.5	12630.45
2025-05-14 20:35:59.000000	24664.05	22489.4	6337.5	13877.55	22386.45	12643.0
2025-05-14 20:40:59.000000	24670.05	22499.35	6341.8	13885.45	22393.1	12648.5
2025-05-14 20:45:59.000000	24656.35	22494.05	6340.35	13890.65	22400.4	12645.8
2025-05-14 20:50:59.000000	24664.25	22502.05	6341.65	13902.7	22403.95	12650.2
2025-05-14 20:55:59.000000	24684.95	22515.55	6347.2	13907.7	22402.45	12657.45
2025-05-14 21:00:59.000000	24666.9	22499.5	6340.4	13893.1	22416.85	12649.1
2025-05-14 21:05:59.000000	24666.9	22499.5	6340.4	13893.5	22416.85	12649.1
2025-05-14 21:10:59.000000	24666.9	22499.5	6340.4	13893.5	22416.85	12649.1
2025-05-14 21:15:59.000000	24666.9	22499.5	6340.4	13893.5	22416.85	12649.1
2025-05-14 21:20:59.000000	24666.9	22499.5	6340.4	13893.5	22416.85	12649.1
2025-05-14 21:25:59.000000	24666.9	22499.5	6340.4	13893.5	22416.85	12649.1
2025-05-14 21:30:59.000000	24666.9	22499.5	6340.4	13893.5	22416.85	12649.1
2025-05-14 21:35:59.000000	24666.9	22499.5	6340.4	13893.5	22416.85	12649.1
2025-05-14 21:40:59.000000	24666.9	22499.5	6340.4	13893.5	22416.85	12649.1
2025-05-15 14:45:59.000000	24640.6	22488.95	6338.6	13898.0	22478.0	12644.65
2025-05-15 14:50:59.000000	24596.1	22481.6	6327.85	13915.55	22495.25	12641.05
2025-05-15 14:55:59.000000	24625.0	22509.75	6334.1	13946.95	22517.8	12656.75
2025-05-15 15:00:59.000000	24605.9	22497.4	6319.5	13942.25	22539.4	12650.55
